"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg3_per_g","fg3a_per_g","fg2_per_g","fg2a_per_g","efg_pct","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","mp","fg_per_mp","fga_per_mp","fg3_per_mp","fg3a_per_mp","fg2_per_mp","fg2a_per_mp","ft_per_mp","fta_per_mp","orb_per_mp","drb_per_mp","trb_per_mp","ast_per_mp","stl_per_mp","blk_per_mp","tov_per_mp","pf_per_mp","pts_per_mp","games","player_stats$link[i]","Year"
"Antonis Fotsis",20.1670091324201,"Power Forward","2003-04",25.8,4.3,8.7,1.3,3.2,3,5.5,0.572,2.2,2.9,1.8,4.2,6,0.9,1.3,1.2,1.3,2.9,12.1,1314,6,12.1,1.8,4.4,4.2,7.7,3.1,4,2.5,5.9,8.4,1.3,1.8,1.7,1.9,4.1,17,51,"http://www.basketball-reference.com/players/f/fotsian01.html",2004
"Antonis Fotsis",20.1670091324201,"Power Forward","2004-05",18.7,2.8,5.6,0.9,2.2,1.9,3.4,0.573,1.3,1.8,1.2,2.5,3.7,0.6,0.6,0.7,1.2,2.3,7.8,842,5.4,10.9,1.7,4.2,3.7,6.6,2.6,3.5,2.4,4.8,7.2,1.2,1.2,1.4,2.3,4.4,15,45,"http://www.basketball-reference.com/players/f/fotsian01.html",2005
"Antonis Fotsis",20.1670091324201,"Power Forward","2005-06",26.2,3.6,7.4,1.3,3.4,2.3,4,0.567,1.3,1.8,1.8,5.1,6.9,1,0.9,0.5,1.4,2.9,9.8,419,4.9,10.2,1.8,4.7,3.1,5.5,1.8,2.4,2.5,7,9.5,1.4,1.3,0.7,1.9,4,13.4,16,"http://www.basketball-reference.com/players/f/fotsian01.html",2006
"Antonis Fotsis",20.1670091324201,"Power Forward","2006-07",30.5,4.5,9.2,1.6,3.6,2.9,5.6,0.569,3.3,3.9,2.5,4.5,7,0.7,1,0.6,2,1.5,13.8,671,5.3,10.9,1.9,4.2,3.4,6.7,3.9,4.6,3,5.4,8.3,0.8,1.2,0.8,2.4,1.8,16.3,22,"http://www.basketball-reference.com/players/f/fotsian01.html",2007
"Antonis Fotsis",20.1670091324201,"Power Forward","2007-08",26.1,3.5,7.4,1.1,3.4,2.4,4.1,0.552,2.1,2.6,1.9,4.3,6.2,1,1.1,0.8,1.6,2.2,10.3,444,4.9,10.2,1.5,4.6,3.3,5.6,2.9,3.6,2.7,5.9,8.6,1.4,1.5,1.1,2.3,3.1,14.2,17,"http://www.basketball-reference.com/players/f/fotsian01.html",2008
"Antonis Fotsis",20.1670091324201,"Power Forward","2008-09",22.4,2.5,4.9,1.2,2.9,1.4,2,0.636,0.9,1.1,1.3,3.1,4.4,0.9,0.6,0.7,1,1.5,7.1,1075,4.1,7.9,1.9,4.7,2.2,3.2,1.4,1.8,2,5.1,7.1,1.4,1,1.1,1.7,2.4,11.5,48,"http://www.basketball-reference.com/players/f/fotsian01.html",2009
"Antonis Fotsis",20.1670091324201,"Power Forward","2009-10",21.4,2.3,4.7,0.7,2.3,1.6,2.4,0.573,1.4,1.7,1.5,3.6,5.1,0.8,0.7,0.8,0.7,1.3,6.8,900,3.9,7.9,1.2,3.8,2.7,4.1,2.3,2.9,2.5,6,8.5,1.4,1.1,1.3,1.2,2.2,11.4,42,"http://www.basketball-reference.com/players/f/fotsian01.html",2010
"Antonis Fotsis",20.1670091324201,"Power Forward","2010-11",21.2,3.1,5.3,0.8,2.3,2.3,3,0.664,1.4,1.9,1.3,3.4,4.8,0.8,0.8,0.6,0.7,1.5,8.4,1016,5.2,9,1.4,3.8,3.8,5.1,2.4,3.3,2.2,5.8,8.1,1.3,1.3,1,1.2,2.5,14.2,48,"http://www.basketball-reference.com/players/f/fotsian01.html",2011
"Antonis Fotsis",20.1670091324201,"Power Forward","2011-12",24.6,3.2,6.2,1.3,3.2,1.9,3,0.62,1.2,1.5,1.6,3.2,4.8,0.8,0.5,0.5,1.1,1.7,8.9,1180,4.7,9.1,1.9,4.7,2.8,4.4,1.7,2.3,2.3,4.7,7,1.2,0.8,0.7,1.7,2.5,13.1,48,"http://www.basketball-reference.com/players/f/fotsian01.html",2012
"Antonis Fotsis",20.1670091324201,"Power Forward","2012-13",23.9,2.6,5.7,1.5,3.4,1.2,2.3,0.59,0.6,0.7,1.4,3,4.4,0.9,0.7,0.3,1.1,1.7,7.3,957,3.9,8.5,2.2,5.2,1.8,3.4,0.8,1.1,2.1,4.6,6.7,1.3,1,0.4,1.7,2.5,10.9,40,"http://www.basketball-reference.com/players/f/fotsian01.html",2013
