"Player","VORP","G","MP","draftYear","link","Amateur"
"Archie Goodwin",-1.4,153,2212,2013,"http://www.basketball-reference.com/players/g/goodwar01.html","College"
"Nemanja Nedovic",-0.3,24,142,2013,"http://www.basketball-reference.com/players/n/nedovne01.html","Euro"
"Allen Crabbe",0.8,184,3965,2013,"http://www.basketball-reference.com/players/c/crabbal01.html","College"
"Alex Abrines",-0.2,29,405,2013,"http://www.basketball-reference.com/players/a/abrinal01.html","Euro"
"Carrick Felix",0,7,38,2013,"http://www.basketball-reference.com/players/f/felixca01.html","College"
"Isaiah Canaan",-0.6,172,3656,2013,"http://www.basketball-reference.com/players/c/canaais01.html","College"
"Glen Rice",-0.2,16,152,2013,"http://www.basketball-reference.com/players/r/ricegl02.html","College"
"Ray McCallum",-0.6,154,2808,2013,"http://www.basketball-reference.com/players/m/mccalra01.html","College"
"Tony Mitchell",0.1,21,79,2013,"http://www.basketball-reference.com/players/m/mitchto02.html","College"
"Nate Wolters",-0.7,79,1556,2013,"http://www.basketball-reference.com/players/w/woltena01.html","College"
"Jeff Withey",1.3,170,1821,2013,"http://www.basketball-reference.com/players/w/witheje01.html","College"
"Grant Jerrett",-0.1,8,51,2013,"http://www.basketball-reference.com/players/j/jerregr01.html","College"
"Jamaal Franklin",-0.1,24,174,2013,"http://www.basketball-reference.com/players/f/frankja01.html","College"
"Pierre Jackson",0,3,26,2013,"http://www.basketball-reference.com/players/j/jackspi01.html","College"
"Ricky Ledo",-0.4,28,277,2013,"http://www.basketball-reference.com/players/l/ledori01.html",""
"Mike Muscala",1.1,155,2019,2013,"http://www.basketball-reference.com/players/m/muscami01.html","College"
"Marko Todorovic",NA,NA,NA,2013,"http://www.basketball-reference.com/players/t/todorma01.html","Euro"
"Erick Green",-0.3,52,452,2013,"http://www.basketball-reference.com/players/g/greener01.html","College"
"Raul Neto",0,101,1652,2013,"http://www.basketball-reference.com/players/n/netora01.html","Euro"
"Ryan Kelly",-0.1,156,3062,2013,"http://www.basketball-reference.com/players/k/kellyry01.html","College"
"Erik Murphy",-0.1,24,62,2013,"http://www.basketball-reference.com/players/m/murpher01.html","College"
"James Ennis",1,108,1998,2013,"http://www.basketball-reference.com/players/e/ennisja01.html",""
"Lorenzo Brown",-0.5,63,834,2013,"http://www.basketball-reference.com/players/b/brownlo01.html","College"
"Colton Iverson",NA,NA,NA,2013,"http://www.basketball-reference.com/players/i/iversco01.html","College"
"Arsalan Kazemi",NA,NA,NA,2013,"http://www.basketball-reference.com/players/k/kazemar01.html","College"
"Joffrey Lauvergne",-0.2,114,1753,2013,"http://www.basketball-reference.com/players/l/lauvejo01.html","Euro"
"Peyton Siva",-0.3,24,224,2013,"http://www.basketball-reference.com/players/s/sivape01.html","College"
"Alex Oriakhi",NA,NA,NA,2013,"http://www.basketball-reference.com/players/o/oriakal01.html","College"
"Deshaun Thomas",NA,NA,NA,2013,"http://www.basketball-reference.com/players/t/thomade01.html","College"
"Bojan Dubljevic",NA,NA,NA,2013,"http://www.basketball-reference.com/players/d/dubljbo01.html","Euro"
"Janis Timma",NA,NA,NA,2013,"http://www.basketball-reference.com/players/t/timmaja01.html","Euro"
"Anthony Davis",15.9,294,10090,2012,"http://www.basketball-reference.com/players/d/davisan02.html","College"
"Michael Kidd-Gilchrist",1.1,237,6342,2012,"http://www.basketball-reference.com/players/k/kiddgmi01.html","College"
"Bradley Beal",4.1,277,9120,2012,"http://www.basketball-reference.com/players/b/bealbr01.html","College"
"Dion Waiters",-1.7,306,8706,2012,"http://www.basketball-reference.com/players/w/waitedi01.html","College"
"Thomas Robinson",-1.3,290,3933,2012,"http://www.basketball-reference.com/players/r/robinth01.html","College"
"Damian Lillard",16.1,353,12850,2012,"http://www.basketball-reference.com/players/l/lillada01.html","College"
"Harrison Barnes",2.9,342,9885,2012,"http://www.basketball-reference.com/players/b/barneha02.html","College"
"Terrence Ross",2.4,342,7927,2012,"http://www.basketball-reference.com/players/r/rosste01.html","College"
"Andre Drummond",6.8,340,10121,2012,"http://www.basketball-reference.com/players/d/drumman01.html","College"
"Austin Rivers",-2.2,310,6728,2012,"http://www.basketball-reference.com/players/r/riverau01.html","College"
"Meyers Leonard",-0.1,259,4277,2012,"http://www.basketball-reference.com/players/l/leoname01.html","College"
"Jeremy Lamb",0.7,239,3974,2012,"http://www.basketball-reference.com/players/l/lambje01.html","College"
"Kendall Marshall",-2.8,160,3083,2012,"http://www.basketball-reference.com/players/m/marshke01.html","College"
"John Henson",3.6,289,5521,2012,"http://www.basketball-reference.com/players/h/hensojo01.html","College"
"Maurice Harkless",2.4,315,7170,2012,"http://www.basketball-reference.com/players/h/harklma01.html","College"
"Royce White",0,3,9,2012,"http://www.basketball-reference.com/players/w/whitero03.html","College"
"Tyler Zeller",0.7,316,5850,2012,"http://www.basketball-reference.com/players/z/zellety01.html","College"
"Terrence Jones",3,212,5106,2012,"http://www.basketball-reference.com/players/j/joneste01.html","College"
"Andrew Nicholson",-3.2,270,3944,2012,"http://www.basketball-reference.com/players/n/nichoan01.html","College"
"Evan Fournier",2.1,283,7222,2012,"http://www.basketball-reference.com/players/f/fournev01.html","Euro"
"Jared Sullinger",4.3,258,6414,2012,"http://www.basketball-reference.com/players/s/sullija01.html","College"
"Fab Melo",0,6,36,2012,"http://www.basketball-reference.com/players/m/melofa01.html","College"
"John Jenkins",-0.7,145,1850,2012,"http://www.basketball-reference.com/players/j/jenkijo01.html","College"
"Jared Cunningham",-0.6,84,605,2012,"http://www.basketball-reference.com/players/c/cunnija01.html","College"
"Tony Wroten",-1.6,145,3076,2012,"http://www.basketball-reference.com/players/w/wroteto01.html","College"
"Miles Plumlee",0.7,252,4313,2012,"http://www.basketball-reference.com/players/p/plumlmi01.html","College"
"Arnett Moultrie",-0.2,59,729,2012,"http://www.basketball-reference.com/players/m/moultar01.html","College"
"Perry Jones",-1.1,143,1675,2012,"http://www.basketball-reference.com/players/j/jonespe01.html","College"
"Marquis Teague",-1.3,88,835,2012,"http://www.basketball-reference.com/players/t/teaguma01.html","College"
"Festus Ezeli",0.6,170,2394,2012,"http://www.basketball-reference.com/players/e/ezelife01.html","College"
